timestamp,x,y,z
1776898320.0907896,0.105117,-0.038493,0.869536
1776898322.9715672,0.229694,0.462776,0.775063
1776898325.345119,0.265897,0.852388,0.738493
1776898327.6532207,0.252769,1.238755,0.725727
1776898330.059598,0.247991,1.644059,0.714999
1776898332.1160755,0.484231,1.760359,0.711195
1776898334.1792748,0.902138,1.799727,0.696613
1776898336.264388,1.287225,1.835619,0.688971
1776898338.379354,1.656796,1.877581,0.704979
1776898340.5345154,1.810668,1.861036,0.980541
1776898342.5878584,1.846834,1.857672,1.419149
